timestamp,open,high,low,close
2026-03-24 11:08:00,46277.30,46277.98,46247.91,46259.01
2026-03-24 11:09:00,46259.60,46268.64,46254.52,46256.74
2026-03-24 11:10:00,46259.66,46265.26,46237.96,46259.35
2026-03-24 11:11:00,46259.62,46294.04,46259.62,46273.56
2026-03-24 11:12:00,46273.43,46280.34,46255.88,46255.88
2026-03-24 11:13:00,46257.25,46270.54,46257.06,46264.18
2026-03-24 11:14:00,46265.32,46275.11,46248.45,46275.11
2026-03-24 11:15:00,46273.85,46293.88,46271.49,46293.88
2026-03-24 11:16:00,46294.23,46310.58,46285.83,46310.58
2026-03-24 11:17:00,46313.41,46313.41,46272.46,46274.07
2026-03-24 11:18:00,46274.59,46317.75,46274.59,46309.95
2026-03-24 11:19:00,46311.27,46324.49,46309.07,46314.85
2026-03-24 11:20:00,46315.69,46326.66,46306.35,46326.66
2026-03-24 11:21:00,46325.38,46354.10,46321.23,46342.12
2026-03-24 11:22:00,46342.15,46356.84,46341.55,46349.58
2026-03-24 11:23:00,46348.98,46349.29,46327.42,46336.71
2026-03-24 11:24:00,46337.17,46377.77,46335.76,46376.59
2026-03-24 11:25:00,46374.70,46399.34,46371.72,46399.34
2026-03-24 11:26:00,46398.99,46398.99,46383.23,46383.39
2026-03-24 11:27:00,46383.51,46383.51,46356.49,46360.29
2026-03-24 11:28:00,46359.25,46364.54,46348.43,46349.82
2026-03-24 11:29:00,46350.43,46359.75,46347.51,46359.61
2026-03-24 11:30:00,46362.69,46376.23,46362.40,46362.97
2026-03-24 11:31:00,46362.33,46377.33,46343.51,46343.51
2026-03-24 11:32:00,46343.56,46343.76,46318.31,46333.68
2026-03-24 11:33:00,46332.19,46334.18,46306.59,46306.59
2026-03-24 11:34:00,46307.84,46333.09,46307.84,46331.05
2026-03-24 11:35:00,46329.87,46341.24,46323.71,46337.69
2026-03-24 11:36:00,46336.58,46348.55,46333.66,46344.15
2026-03-24 11:37:00,46345.07,46368.63,46341.68,46368.63
2026-03-24 11:38:00,46368.32,46375.70,46356.69,46359.27
2026-03-24 11:39:00,46358.81,46367.22,46354.73,46355.39
2026-03-24 11:40:00,46355.16,46366.57,46354.51,46363.77
2026-03-24 11:41:00,46364.33,46364.34,46341.70,46356.68
2026-03-24 11:42:00,46356.69,46358.16,46336.62,46340.05
2026-03-24 11:43:00,46339.04,46344.15,46333.93,46343.13
2026-03-24 11:44:00,46339.84,46353.23,46336.63,46352.22
2026-03-24 11:45:00,46352.10,46360.78,46342.34,46357.72
2026-03-24 11:46:00,46357.95,46362.93,46355.51,46362.93
2026-03-24 11:47:00,46363.15,46366.26,46355.57,46361.83
2026-03-24 11:48:00,46361.18,46381.09,46357.71,46380.71
2026-03-24 11:49:00,46380.92,46394.78,46379.39,46386.57
2026-03-24 11:50:00,46386.97,46400.82,46385.95,46389.42
2026-03-24 11:51:00,46387.07,46399.28,46384.80,46399.28
2026-03-24 11:52:00,46398.68,46398.68,46383.08,46392.37
